Labels,sca-30-t3_final,
1226.000,2.07295788E+6,
1227.000,2.07391950E+6,
1228.000,2.07487463E+6,
1229.000,2.07582313E+6,
1230.00,2.07676513E+6,
1231.000,2.07770050E+6,
1232.000,2.07862950E+6,
1233.000,2.07955188E+6,
1234.000,2.08046763E+6,
1235.000,2.08137675E+6,
1236.000,2.08227988E+6,
1237.000,2.08317625E+6,
1238.000,2.08406625E+6,
1239.000,2.08494975E+6,
1240.00,2.08582688E+6,
1241.000,2.08669750E+6,
1242.000,2.08756188E+6,
1243.000,2.08841963E+6,
1244.000,2.08927138E+6,
1245.000,2.09011638E+6,
1246.000,2.09095538E+6,
1247.000,2.09178775E+6,
1248.000,2.09261388E+6,
1249.000,2.09343375E+6,
1250.00,2.09424713E+6,
1251.000,2.09505450E+6,
1252.000,2.09585563E+6,
1253.000,2.09665038E+6,
1254.000,2.09743875E+6,
1255.000,2.09822100E+6,
1256.000,2.09899700E+6,
1257.000,2.09976700E+6,
1258.000,2.10053050E+6,
1259.000,2.10128800E+6,
1260.00,2.10203950E+6,
1261.000,2.10278475E+6,
1262.000,2.10352375E+6,
1263.000,2.10425675E+6,
1264.000,2.10498325E+6,
1265.000,2.10570400E+6,
1266.000,2.10641875E+6,
1267.000,2.10712725E+6,
1268.000,2.10782950E+6,
1269.000,2.10852625E+6,
1270.00,2.10921675E+6,
1271.000,2.10990100E+6,
1272.000,2.11057950E+6,
