Labels	T4_data_Sept2014_v2	
1014.000	7.91364372E-1	
1015.000	7.92600632E-1	
1016.000	7.93833315E-1	
1017.000	7.95062244E-1	
1018.000	7.96287298E-1	
1019.000	7.97508538E-1	
1020.00	7.98725963E-1	
1021.000	7.99939573E-1	
1022.000	8.01149130E-1	
1023.000	8.02354813E-1	
1024.000	8.03556561E-1	
1025.000	8.04754317E-1	
1026.000	8.05948079E-1	
1027.000	8.07137847E-1	
1028.000	8.08323681E-1	
1029.000	8.09505224E-1	
1030.00	8.10682952E-1	
1031.000	8.11856627E-1	
1032.000	8.13026369E-1	
1033.000	8.14192116E-1	
1034.000	8.15353990E-1	
1035.000	8.16511929E-1	
1036.000	8.17666233E-1	
1037.000	8.18816483E-1	
1038.000	8.19963038E-1	
1039.000	8.21105838E-1	
1040.00	8.22244942E-1	
1041.000	8.23380232E-1	
1042.000	8.24511826E-1	
1043.000	8.25639784E-1	
1044.000	8.26763988E-1	
1045.000	8.27884555E-1	
1046.000	8.29001367E-1	
1047.000	8.30114484E-1	
1048.000	8.31223965E-1	
1049.000	8.32329512E-1	
1050.00	8.33431363E-1	
1051.000	8.34529459E-1	
1052.000	8.35623682E-1	
1053.000	8.36714029E-1	
1054.000	8.37800562E-1	
1055.000	8.38883102E-1	
1056.000	8.39961708E-1	
1057.000	8.41036260E-1	
1058.000	8.42106760E-1	
1059.000	8.43173146E-1	
1060.00	8.44235420E-1	
1061.000	8.45293581E-1	
1062.000	8.46347570E-1	
1063.000	8.47397506E-1	
1064.000	8.48443031E-1	
1065.000	8.49484444E-1	
1066.000	8.50521803E-1	
1067.000	8.51554751E-1	
1068.000	8.52583528E-1	
1069.000	8.53608012E-1	
1070.00	8.54628503E-1	
1071.000	8.55644584E-1	
1072.000	8.56656551E-1	
1073.000	8.57664347E-1	
1074.000	8.58667850E-1	
1075.000	8.59667361E-1	
1076.000	8.60662520E-1	
1077.000	8.61653745E-1	
1078.000	8.62640619E-1	
1079.000	8.63623500E-1	
1080.00	8.64602149E-1	
1081.000	8.65576625E-1	
1082.000	8.66546988E-1	
1083.000	8.67513180E-1	
1084.000	8.68475378E-1	
1085.000	8.69433522E-1	
1086.000	8.70387554E-1	
1087.000	8.71337593E-1	
1088.000	8.72283638E-1	
1089.000	8.73225629E-1	
1090.00	8.74163687E-1	
1091.000	8.75097752E-1	
1092.000	8.76027822E-1	
1093.000	8.76953900E-1	
1094.000	8.77875984E-1	
1095.000	8.78794074E-1	
1096.000	8.79708111E-1	
1097.000	8.80617917E-1	
1098.000	8.81523728E-1	
1099.000	8.82425487E-1	
1100.00	8.83323014E-1	
1101.000	8.84216428E-1	
1102.000	8.85105669E-1	
1103.000	8.85990739E-1	
1104.000	8.86871517E-1	
1105.000	8.87748241E-1	
1106.000	8.88620794E-1	
1107.000	8.89489174E-1	
1108.000	8.90353441E-1	
1109.000	8.91213596E-1	
1110.00	8.92069638E-1	
1111.000	8.92921686E-1	
1112.000	8.93769741E-1	
1113.000	8.94613743E-1	
1114.000	8.95453870E-1	
1115.000	8.96290064E-1	
1116.000	8.97122264E-1	
1117.000	8.97950649E-1	
1118.000	8.98775280E-1	
1119.000	8.99596214E-1	
1120.00	9.00413394E-1	
1121.000	9.01226938E-1	
1122.000	9.02036786E-1	
1123.000	9.02842999E-1	
1124.000	9.03645694E-1	
1125.000	9.04444754E-1	
1126.000	9.05240178E-1	
1127.000	9.06032026E-1	
1128.000	9.06820357E-1	
1129.000	9.07604933E-1	
1130.00	9.08385873E-1	
1131.000	9.09163356E-1	
1132.000	9.09937143E-1	
1133.000	9.10707414E-1	
1134.000	9.11474109E-1	
1135.000	9.12236929E-1	
1136.000	9.12996113E-1	
1137.000	9.13751483E-1	
1138.000	9.14503098E-1	
1139.000	9.15250778E-1	
1140.00	9.15994644E-1	
1141.000	9.16734457E-1	
1142.000	9.17470396E-1	
1143.000	9.18202221E-1	
1144.000	9.18929994E-1	
1145.000	9.19653535E-1	
1146.000	9.20372963E-1	
1147.000	9.21088040E-1	
1148.000	9.21798944E-1	
1149.000	9.22505558E-1	
1150.00	9.23207879E-1	
1151.000	9.23905790E-1	
1152.000	9.24599290E-1	
1153.000	9.25288498E-1	
1154.000	9.25973237E-1	
1155.000	9.26653624E-1	
1156.000	9.27329600E-1	
1157.000	9.28001344E-1	
1158.000	9.28668559E-1	
1159.000	9.29331422E-1	
1160.00	9.29989815E-1	
1161.000	9.30643976E-1	
1162.000	9.31293666E-1	
1163.000	9.31939125E-1	
1164.000	9.32579994E-1	
1165.000	9.33216631E-1	
1166.000	9.33848858E-1	
1167.000	9.34476614E-1	
1168.000	9.35100019E-1	
1169.000	9.35719013E-1	
1170.00	9.36333597E-1	
1171.000	9.36943829E-1	
1172.000	9.37549531E-1	
1173.000	9.38150942E-1	
1174.000	9.38747883E-1	
1175.000	9.39340532E-1	
1176.000	9.39928949E-1	
1177.000	9.40513313E-1	
1178.000	9.41093564E-1	
1179.000	9.41669881E-1	
1180.00	9.42242265E-1	
1181.000	9.42810893E-1	
1182.000	9.43375945E-1	
1183.000	9.43937480E-1	
1184.000	9.44495499E-1	
1185.000	9.45050180E-1	
1186.000	9.45601404E-1	
1187.000	9.46149647E-1	
1188.000	9.46694553E-1	
1189.000	9.47236478E-1	
1190.00	9.47775304E-1	
1191.000	9.48311150E-1	
1192.000	9.48844016E-1	
1193.000	9.49373782E-1	
1194.000	9.49900806E-1	
1195.000	9.50424433E-1	
1196.000	9.50945258E-1	
1197.000	9.51462805E-1	
1198.000	9.51977313E-1	
1199.000	9.52488363E-1	
1200.00	9.52996194E-1	
1201.000	9.53500688E-1	
1202.000	9.54001963E-1	
1203.000	9.54499960E-1	
1204.000	9.54994857E-1	
1205.000	9.55486715E-1	
1206.000	9.55975890E-1	
1207.000	9.56462443E-1	
1208.000	9.56946611E-1	
1209.000	9.57428396E-1	
