Labels,T2 data_interpolated up to 2500,
1219.000,9.87292469E-1,
1220.00,9.87527072E-1,
1221.000,9.87763762E-1,
1222.000,9.88002598E-1,
1223.000,9.88243639E-1,
1224.000,9.88486886E-1,
1225.000,9.88732159E-1,
1226.000,9.88979340E-1,
1227.000,9.89228189E-1,
1228.000,9.89478648E-1,
1229.000,9.89730418E-1,
1230.00,9.89983082E-1,
1231.000,9.90236521E-1,
1232.000,9.90490258E-1,
1233.000,9.90744114E-1,
1234.000,9.90997612E-1,
1235.000,9.91250515E-1,
1236.000,9.91502404E-1,
1237.000,9.91752803E-1,
1238.000,9.92001593E-1,
1239.000,9.92248297E-1,
1240.00,9.92492616E-1,
1241.000,9.92734134E-1,
1242.000,9.92972612E-1,
1243.000,9.93207633E-1,
1244.000,9.93438959E-1,
1245.000,9.93666291E-1,
1246.000,9.93889391E-1,
1247.000,9.94107842E-1,
1248.000,9.94321465E-1,
1249.000,9.94530082E-1,
1250.00,9.94733453E-1,
1251.000,9.94931281E-1,
1252.000,9.95123506E-1,
1253.000,9.95309949E-1,
1254.000,9.95490432E-1,
1255.000,9.95664895E-1,
1256.000,9.95833397E-1,
1257.000,9.95995879E-1,
1258.000,9.96152341E-1,
1259.000,9.96302843E-1,
1260.00,9.96447563E-1,
1261.000,9.96586621E-1,
1262.000,9.96720195E-1,
1263.000,9.96848464E-1,
1264.000,9.96971726E-1,
1265.000,9.97090280E-1,
1266.000,9.97204363E-1,
1267.000,9.97314274E-1,
1268.000,9.97420311E-1,
1269.000,9.97522891E-1,
1270.00,9.97622192E-1,
