Labels,T data_N11P_Feb2020_up to 3000,
1142.000,9.19825912E-1,
1143.000,9.20453250E-1,
1144.000,9.21079040E-1,
1145.000,9.21702921E-1,
1146.000,9.22325015E-1,
1147.000,9.22945499E-1,
1148.000,9.23564374E-1,
1149.000,9.24181223E-1,
1150.00,9.24796522E-1,
1151.000,9.25410151E-1,
1152.000,9.26021934E-1,
1153.000,9.26631689E-1,
1154.000,9.27240133E-1,
1155.000,9.27846432E-1,
1156.000,9.28450942E-1,
1157.000,9.29053545E-1,
1158.000,9.29654360E-1,
1159.000,9.30253327E-1,
1160.00,9.30850148E-1,
1161.000,9.31444943E-1,
1162.000,9.32037652E-1,
1163.000,9.32628155E-1,
1164.000,9.33216631E-1,
1165.000,9.33802724E-1,
1166.000,9.34386730E-1,
1167.000,9.34968352E-1,
1168.000,9.35547650E-1,
1169.000,9.36124504E-1,
1170.00,9.36699092E-1,
1171.000,9.37270999E-1,
1172.000,9.37840283E-1,
1173.000,9.38407242E-1,
1174.000,9.38971817E-1,
1175.000,9.39533472E-1,
1176.000,9.40092802E-1,
1177.000,9.40649211E-1,
1178.000,9.41203296E-1,
1179.000,9.41754699E-1,
1180.00,9.42303479E-1,
1181.000,9.42849994E-1,
1182.000,9.43393528E-1,
1183.000,9.43934977E-1,
1184.000,9.44473803E-1,
1185.000,9.45010304E-1,
1186.000,9.45544362E-1,
1187.000,9.46076393E-1,
1188.000,9.46606278E-1,
1189.000,9.47133839E-1,
1190.00,9.47659791E-1,
1191.000,9.48183656E-1,
1192.000,9.48705673E-1,
1193.000,9.49226141E-1,
1194.000,9.49744999E-1,
1195.000,9.50262547E-1,
1196.000,9.50778604E-1,
1197.000,9.51293468E-1,
1198.000,9.51807141E-1,
1199.000,9.52319682E-1,
1200.00,9.52831507E-1,
1201.000,9.53342438E-1,
1202.000,9.53852952E-1,
1203.000,9.54362631E-1,
1204.000,9.54872012E-1,
1205.000,9.55380917E-1,
1206.000,9.55889881E-1,
1207.000,9.56398785E-1,
1208.000,9.56907392E-1,
1209.000,9.57416236E-1,
1210.00,9.57925439E-1,
1211.000,9.58434880E-1,
1212.000,9.58944559E-1,
1213.000,9.59454715E-1,
1214.000,9.59965467E-1,
1215.000,9.60476518E-1,
1216.000,9.60988224E-1,
1217.000,9.61500585E-1,
1218.000,9.62013721E-1,
1219.000,9.62527096E-1,
1220.00,9.63040888E-1,
1221.000,9.63555634E-1,
1222.000,9.64070559E-1,
1223.000,9.64585721E-1,
1224.000,9.65100944E-1,
1225.000,9.65616703E-1,
1226.000,9.66132104E-1,
1227.000,9.66647565E-1,
1228.000,9.67162549E-1,
1229.000,9.67677176E-1,
1230.00,9.68191087E-1,
1231.000,9.68704224E-1,
1232.000,9.69215930E-1,
1233.000,9.69726682E-1,
1234.000,9.70235884E-1,
1235.000,9.70743477E-1,
1236.000,9.71249163E-1,
1237.000,9.71752584E-1,
1238.000,9.72253859E-1,
1239.000,9.72752512E-1,
1240.00,9.73248303E-1,
1241.000,9.73741174E-1,
1242.000,9.74230886E-1,
1243.000,9.74717200E-1,
1244.000,9.75199819E-1,
1245.000,9.75679040E-1,
1246.000,9.76154089E-1,
1247.000,9.76625204E-1,
1248.000,9.77091789E-1,
1249.000,9.77554202E-1,
1250.00,9.78012145E-1,
1251.000,9.78465438E-1,
1252.000,9.78913844E-1,
1253.000,9.79357660E-1,
1254.000,9.79796231E-1,
1255.000,9.80229735E-1,
1256.000,9.80658233E-1,
1257.000,9.81081247E-1,
1258.000,9.81499314E-1,
1259.000,9.81911898E-1,
1260.00,9.82318878E-1,
1261.000,9.82720375E-1,
1262.000,9.83116329E-1,
1263.000,9.83507097E-1,
1264.000,9.83892024E-1,
1265.000,9.84271467E-1,
1266.000,9.84645188E-1,
1267.000,9.85013545E-1,
1268.000,9.85376179E-1,
1269.000,9.85733032E-1,
