Labels,SCA30-2-t_old data from 844_Oct2020,
1158.000,9.71446335E-1,
1159.000,9.71844435E-1,
1160.00,9.72239077E-1,
1161.000,9.72630322E-1,
1162.000,9.73018050E-1,
1163.000,9.73402381E-1,
1164.000,9.73783433E-1,
1165.000,9.74160969E-1,
1166.000,9.74535108E-1,
1167.000,9.74905968E-1,
1168.000,9.75273252E-1,
1169.000,9.75637257E-1,
1170.00,9.75997746E-1,
1171.000,9.76354897E-1,
1172.000,9.76708889E-1,
1173.000,9.77059364E-1,
1174.000,9.77406442E-1,
1175.000,9.77750063E-1,
1176.000,9.78090167E-1,
1177.000,9.78427172E-1,
1178.000,9.78761077E-1,
1179.000,9.79091108E-1,
1180.00,9.79418039E-1,
1181.000,9.79741633E-1,
1182.000,9.80062068E-1,
1183.000,9.80378985E-1,
1184.000,9.80692863E-1,
1185.000,9.81003225E-1,
1186.000,9.81310487E-1,
1187.000,9.81614470E-1,
1188.000,9.81915057E-1,
1189.000,9.82212901E-1,
1190.00,9.82507169E-1,
1191.000,9.82798398E-1,
1192.000,9.83086407E-1,
1193.000,9.83371317E-1,
1194.000,9.83653188E-1,
1195.000,9.83931839E-1,
1196.000,9.84207332E-1,
1197.000,9.84480083E-1,
1198.000,9.84749615E-1,
1199.000,9.85016048E-1,
1200.00,9.85279441E-1,
1201.000,9.85539913E-1,
1202.000,9.85797584E-1,
1203.000,9.86052096E-1,
1204.000,9.86303926E-1,
1205.000,9.86552596E-1,
1206.000,9.86798525E-1,
1207.000,9.87041533E-1,
1208.000,9.87281859E-1,
1209.000,9.87519145E-1,
1210.00,9.87753689E-1,
1211.000,9.87985551E-1,
1212.000,9.88214731E-1,
1213.000,9.88441110E-1,
1214.000,9.88664627E-1,
1215.000,9.88885641E-1,
1216.000,9.89103854E-1,
1217.000,9.89319384E-1,
1218.000,9.89532411E-1,
1219.000,9.89742696E-1,
1220.00,9.89950359E-1,
1221.000,9.90155399E-1,
1222.000,9.90358293E-1,
1223.000,9.90558267E-1,
1224.000,9.90755618E-1,
1225.000,9.90950704E-1,
1226.000,9.91143167E-1,
1227.000,9.91333127E-1,
1228.000,9.91520643E-1,
1229.000,9.91705656E-1,
1230.00,9.91888165E-1,
1231.000,9.92068112E-1,
1232.000,9.92246151E-1,
1233.000,9.92421389E-1,
1234.000,9.92594242E-1,
1235.000,9.92764831E-1,
1236.000,9.92933154E-1,
1237.000,9.93098736E-1,
1238.000,9.93262351E-1,
1239.000,9.93423343E-1,
1240.00,9.93582070E-1,
1241.000,9.93738532E-1,
1242.000,9.93892729E-1,
1243.000,9.94044423E-1,
1244.000,9.94194031E-1,
1245.000,9.94341314E-1,
1246.000,9.94486034E-1,
1247.000,9.94628668E-1,
1248.000,9.94769096E-1,
1249.000,9.94907141E-1,
1250.00,9.95042980E-1,
1251.000,9.95176733E-1,
1252.000,9.95308042E-1,
1253.000,9.95437086E-1,
1254.000,9.95563924E-1,
1255.000,9.95688736E-1,
1256.000,9.95811045E-1,
1257.000,9.95931149E-1,
1258.000,9.96049225E-1,
1259.000,9.96165097E-1,
1260.00,9.96278703E-1,
1261.000,9.96390224E-1,
1262.000,9.96499479E-1,
1263.000,9.96606529E-1,
1264.000,9.96711433E-1,
1265.000,9.96814370E-1,
1266.000,9.96914804E-1,
1267.000,9.97013152E-1,
1268.000,9.97109413E-1,
